"crn"	"subject"	"num"	"description"	"section"	"type"	"credits"	"start"	"end"	"days"	"where"	"schedule"	"instructor"
"20612"	"Accounting"	"ACC 360"	"Financial Accounting II (WI)"	"001"	"LEC"	"3"	"09:15:00"	"10:45:00"	"TR"	"Merrill Building 218"	"In-Person Instruction"	"John Robert Sudduth"
"20614"	"Accounting"	"ACC 372"	"Income Tax Accounting"	"001"	"LEC"	"3"	"12:45:00"	"14:15:00"	"TR"	"Merrill Building 115"	"In-Person Instruction"	"John Edward Sneed"
"22385"	"Accounting"	"ACC 477"	"Auditing"	"001"	"LEC"	"3"	"14:30:00"	"16:00:00"	"TR"	"Merrill Building 109"	"In-Person Instruction"	"Jeffrey Scott Zanzig"
"20618"	"Accounting"	"ACC 489"	"Accounting Internship"	"001"	"INT"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Internship"	"Julie Ann Staples"
"20619"	"Accounting"	"ACC 497"	"Seminar in Accounting"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Cynthia Ann Sneed"
"20633"	"Accounting"	"ACC 512"	"Accounting Information Analysis"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Cynthia Ann Sneed"
"22651"	"Accounting"	"ACC 550"	"Advanced Fraud Examination and Forensic Accounting"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Cynthia Ann Sneed"
"22652"	"Accounting"	"ACC 576"	"Advanced Income Tax Accounting"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"John Edward Sneed"
"21902"	"Applied Engineering"	"AE 207"	"Electrical, Fluid Power, and Mechanical Systems"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Teje H Sult, Dana Lynn Ingalsbe"
"21903"	"Applied Engineering"	"AE 210"	"Manufacturing Fundamentals"	"001"	"LEC"	"3"	"09:15:00"	"10:45:00"	"MW"	"Ayers Hall 149"	"In-Person Instruction"	"Teje H Sult, Dana Lynn Ingalsbe"
"21904"	"Applied Engineering"	"AE 210"	"Manufacturing Fundamentals"	"002"	"LEC"	"3"	"14:30:00"	"16:00:00"	"MW"	"Ayers Hall 149"	"In-Person Instruction"	"Teje H Sult, Dana Lynn Ingalsbe"
"23128"	"Applied Engineering"	"AE 210"	"Manufacturing Fundamentals"	"003"	"LEC"	"3"	"09:15:00"	"10:45:00"	"TR"	"Ayers Hall 149"	"In-Person Instruction"	"Teje H Sult, Dana Lynn Ingalsbe"
"23129"	"Applied Engineering"	"AE 225"	"Solid State Devices I"	"001"	"LEC"	"4"	"08:45:00"	"10:45:00"	"TR"	"Ayers Hall 155"	"In-Person Instruction"	"Noureddine Bekhouche, Dana Lynn Ingalsbe"
"21907"	"Applied Engineering"	"AE 251"	"Computer-Aided Design"	"001"	"LEC"	"3"	"07:30:00"	"09:00:00"	"MW"	"Ayers Hall 161"	"In-Person Instruction"	"Natalia Esparragoza Rivas, Dana Lynn Ingalsbe"
"21909"	"Applied Engineering"	"AE 252"	"Programmable Controllers"	"001"	"LEC"	"3"	"09:15:00"	"10:45:00"	"MW"	"Ayers Hall 155"	"In-Person Instruction"	"Noureddine Bekhouche, Dana Lynn Ingalsbe"
"21911"	"Applied Engineering"	"AE 307"	"Industrial Training"	"001"	"LEC"	"3"	"09:15:00"	"10:45:00"	"MW"	"Ayers Hall 120"	"In-Person Instruction"	"William Emmett Yarbrough, Dana Lynn Ingalsbe"
"22325"	"Applied Engineering"	"AE 316"	"Advanced Electronics"	"001"	"LEC"	"4"	"14:30:00"	"16:29:00"	"MW"	"Ayers Hall 155"	"In-Person Instruction"	"Noureddine Bekhouche, Dana Lynn Ingalsbe"
"23084"	"Applied Engineering"	"AE 341"	"Work Measurement and Methods"	"001"	"LEC"	"3"	"12:45:00"	"14:15:00"	"MW"	"Ayers Hall 149"	"In-Person Instruction"	"Teje H Sult, Dana Lynn Ingalsbe"
"23155"	"Applied Engineering"	"AE 342"	"Employer-Employee Relations"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Jessie Franklin Godbey, Dana Lynn Ingalsbe"
"21920"	"Applied Engineering"	"AE 343"	"Engineering and Technology Management"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Jessie Franklin Godbey, Dana Lynn Ingalsbe"
"21928"	"Applied Engineering"	"AE 380"	"Industrial Safety and Health"	"001"	"LEC"	"3"	"12:45:00"	"14:15:00"	"TR"	"Merrill Building 300"	"In-Person Instruction"	"Jessie Franklin Godbey, Dana Lynn Ingalsbe"
"21929"	"Applied Engineering"	"AE 384"	"Construction Safety"	"001"	"BL1"	"3"	"09:15:00"	"10:45:00"	"TR"	"Merrill Building 300"	"Hybrid (mostly on-campus)"	"William Emmett Yarbrough, Dana Lynn Ingalsbe"
"22646"	"Applied Engineering"	"AE 388"	"Industrial Hygiene I"	"001"	"BL1"	"3"	"11:00:00"	"12:30:00"	"MW"	"Ayers Hall 120"	"Hybrid (mostly on-campus)"	"William Emmett Yarbrough, Dana Lynn Ingalsbe"
"21930"	"Applied Engineering"	"AE 393"	"Applied Engineering Junior Seminar"	"001"	"LEC"	"1"	"07:30:00"	"09:00:00"	"T"	"Merrill Building 300"	"In-Person Instruction"	"Dana Lynn Ingalsbe"
"23098"	"Applied Engineering"	"AE 441"	"Project Management"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Jason Eric Ward, Dana Lynn Ingalsbe"
"21940"	"Applied Engineering"	"AE 460"	"Computer-Aided Manufacturing"	"001"	"LEC"	"3"	"16:30:00"	"18:00:00"	"TR"	"Ayers Hall 161"	"In-Person Instruction"	"Richard L Prickett, Dana Lynn Ingalsbe"
"22055"	"Applied Engineering"	"AE 484"	"Industrial Ergonomics"	"001"	"BL1"	"3"	"14:30:00"	"16:00:00"	"TR"	"Merrill Building 300"	"Hybrid (mostly on-campus)"	"William Emmett Yarbrough, Dana Lynn Ingalsbe"
"21954"	"Applied Engineering"	"AE 486"	"Safety Performance Management"	"001"	"BL2"	"3"	"00:00:00"	"00:00:00"	""	"Merrill Building 300"	"Hybrid (mostly online)"	"Jessie Franklin Godbey, Dana Lynn Ingalsbe"
"22666"	"Applied Engineering"	"AE 490"	"Industrial Hygiene II"	"001"	"LEC"	"3"	"14:30:00"	"16:00:00"	"MW"	"Ayers Hall 120"	"In-Person Instruction"	"William Emmett Yarbrough, Dana Lynn Ingalsbe"
"21957"	"Applied Engineering"	"AE 494"	"Applied Engineering Senior Internship (WI)"	"001"	"SB"	"2"	"07:30:00"	"09:00:00"	"R"	"Merrill Building 300"	"Site-Based"	"Jessie Franklin Godbey, Dana Lynn Ingalsbe"
"22720"	"Anthropology"	"AN 224"	"Introduction to Anthropology"	"001"	"LEC"	"3"	"08:45:00"	"09:45:00"	"MWF"	"Martin Hall 142"	"In-Person Instruction"	"Kathryn Anne Catlin"
"22721"	"Anthropology"	"AN 225"	"Introduction to Archaeology"	"001"	"LEC"	"3"	"14:30:00"	"16:00:00"	"TR"	"Martin Hall 142"	"In-Person Instruction"	"Kathryn Anne Catlin"
"22722"	"Anthropology"	"AN 345"	"Cultural Anthropology"	"001"	"LEC"	"3"	"13:45:00"	"14:45:00"	"MWF"	"Martin Hall 142"	"In-Person Instruction"	"Kathryn Anne Catlin"
"20631"	"Nur Prac-Adult Gero Acute Care"	"ANP 668"	"Advanced Adult-Gerontology Acute NP I"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Douglas Jerome Stephens, Elizabeth Gulledge, Heather Renee Wallace"
"20632"	"Nur Prac-Adult Gero Acute Care"	"ANP 669"	"Advanced Adult-Gerontology Acute NP Practicum I"	"001"	"ONL"	"1"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Cheryl S. Emich, Elizabeth Gulledge, Douglas Jerome Stephens, Heather Renee Wallace"
"20634"	"Nur Prac-Adult Gero Acute Care"	"ANP 671"	"Health Promotion/Disease Prevention and Issues for AGACNP"	"001"	"ONL"	"2"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Cheryl S. Emich, Elizabeth Gulledge, Douglas Jerome Stephens, Heather Renee Wallace"
"20636"	"Nur Prac-Adult Gero Acute Care"	"ANP 676"	"Advanced Adult-Gerontology Acute NP IV"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Douglas Jerome Stephens, Elizabeth Gulledge, Heather Renee Wallace"
"20637"	"Nur Prac-Adult Gero Acute Care"	"ANP 677"	"Advance Adult-Gerontology Acute NP Practicum IV"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Cheryl S. Emich, Elizabeth Gulledge, Douglas Jerome Stephens, Heather Renee Wallace"
"20638"	"Nur Prac-Adult Gero Acute Care"	"ANP 677"	"Advance Adult-Gerontology Acute NP Practicum IV"	"002"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Amber Nicole Walker, Elizabeth Gulledge, Douglas Jerome Stephens, Heather Renee Wallace"
"20639"	"Nur Prac-Adult Gero Acute Care"	"ANP 798"	"Adult Gerontology Acute NP Residency II"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"TBA"	"Online (asynchronous)"	"Douglas Jerome Stephens, Elizabeth Gulledge, Lori Sumner McGrath, Heather Renee Wallace, Jolie Satterfield Wildinger"
"22978"	"Art"	"ART 111"	"Survey of Art I"	"001"	"BL1"	"3"	"10:00:00"	"11:30:00"	"W"	"Round House 101"	"Hybrid (mostly on-campus)"	"Michael Traver Ridlen"
"22979"	"Art"	"ART 111"	"Survey of Art I"	"002"	"BL1"	"3"	"13:45:00"	"15:15:00"	"M"	"Round House 101"	"Hybrid (mostly on-campus)"	"Michael Traver Ridlen"
"23017"	"Art"	"ART 112"	"Survey of Art II (WI)"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Anna E Dobbins"
"23035"	"Art"	"ART 112"	"Survey of Art II (WI)"	"002"	"BL1"	"3"	"12:45:00"	"14:15:00"	"TR"	"TBA"	"Hybrid (mostly on-campus)"	"Michael Traver Ridlen"
"23005"	"Art"	"ART 130"	"Creative Thinking"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Patrice Nicole Anderson"
"23022"	"Art"	"ART 130"	"Creative Thinking"	"002"	"LEC"	"3"	"09:00:00"	"10:15:00"	"MW"	"Hammond Hall 112"	"In-Person Instruction"	"Jamie Runnells"
"22984"	"Art"	"ART 134"	"Drawing I"	"001"	"LEC"	"3"	"15:00:00"	"17:45:00"	"MW"	"Hammond Hall 113"	"In-Person Instruction"	"Ronald Morgan Baker"
"22982"	"Art"	"ART 202"	"Art Appreciation"	"001"	"LEC"	"3"	"07:30:00"	"08:59:00"	"MW"	"Round House 101"	"In-Person Instruction"	"Ronald Morgan Baker"
"23010"	"Art"	"ART 202"	"Art Appreciation"	"002"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Allison Anderson"
"23011"	"Art"	"ART 202"	"Art Appreciation"	"003"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Allison Anderson"
"23015"	"Art"	"ART 202"	"Art Appreciation"	"004"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Anna E Dobbins"
"23016"	"Art"	"ART 202"	"Art Appreciation"	"005"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Anna E Dobbins"
"23019"	"Art"	"ART 202"	"Art Appreciation"	"006"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"John Edward Wippler"
"23020"	"Art"	"ART 202"	"Art Appreciation"	"007"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"John Edward Wippler"
"23054"	"Art"	"ART 202"	"Art Appreciation"	"008"	"LEC"	"3"	"07:30:00"	"09:00:00"	"TR"	"Round House 101"	"In-Person Instruction"	"Ronald Morgan Baker"
"23124"	"Art"	"ART 202"	"Art Appreciation"	"009"	"LEC"	"3"	"11:00:00"	"12:30:00"	"TR"	"Round House 101"	"In-Person Instruction"	"Sarah Victoria Faulkner"
"23125"	"Art"	"ART 202"	"Art Appreciation"	"010"	"LEC"	"3"	"14:30:00"	"16:00:00"	"TR"	"Round House 101"	"In-Person Instruction"	"Sarah Victoria Faulkner"
"23127"	"Art"	"ART 202"	"Art Appreciation"	"011"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Sarah Victoria Faulkner"
"22981"	"Art"	"ART 233"	"Design I"	"001"	"LEC"	"3"	"12:00:00"	"14:45:00"	"MW"	"Hammond Hall 112"	"In-Person Instruction"	"Mary Booth Dunn"
"22983"	"Art"	"ART 234"	"Drawing II"	"001"	"LEC"	"3"	"12:00:00"	"14:45:00"	"MW"	"Hammond Hall 113"	"In-Person Instruction"	"Ronald Morgan Baker"
"23036"	"Art"	"ART 234"	"Drawing II"	"002"	"LEC"	"3"	"08:00:00"	"10:45:00"	"TR"	"Hammond Hall 113"	"In-Person Instruction"	"Mary Booth Dunn"
"23037"	"Art"	"ART 234"	"Drawing II"	"003"	"LEC"	"3"	"12:00:00"	"14:45:00"	"TR"	"Hammond Hall 113"	"In-Person Instruction"	"Mary Booth Dunn"
"23018"	"Art"	"ART 240"	"Design II"	"001"	"LEC"	"3"	"12:00:00"	"14:45:00"	"MW"	"Carlisle Fine Arts Facility 102"	"In-Person Instruction"	"John Edward Wippler"
"23021"	"Art"	"ART 240"	"Design II"	"002"	"LEC"	"3"	"08:00:00"	"10:45:00"	"MW"	"Carlisle Fine Arts Facility 102"	"In-Person Instruction"	"Jamie Runnells"
"23118"	"Art"	"ART 240"	"Design II"	"003"	"LEC"	"3"	"08:00:00"	"10:45:00"	"TR"	"Carlisle Fine Arts Facility 102"	"In-Person Instruction"	"John Oles"
"22985"	"Art"	"ART 303"	"Beginning Painting"	"001"	"LEC"	"3"	"12:00:00"	"14:45:00"	"TR"	"Hammond Hall 106"	"In-Person Instruction"	"Allison McElroy"
"23004"	"Art"	"ART 309"	"Ceramics I: Handbuilding"	"001"	"LEC"	"3"	"15:00:00"	"17:45:00"	"MR"	"Carlisle Fine Arts Facility 103"	"In-Person Instruction"	"John Oles"
"23078"	"Art"	"ART 327"	"Commercial Illustration"	"001"	"STU"	"3"	"12:00:00"	"14:45:00"	"TR"	"Hammond Hall 112"	"Studio"	"William C. Anderson"
"22980"	"Art"	"ART 335"	"Figure Drawing"	"001"	"LEC"	"3"	"08:00:00"	"10:45:00"	"MW"	"Hammond Hall 113"	"In-Person Instruction"	"Mary Booth Dunn"
"23007"	"Art"	"ART 338"	"Spec Top Inky Illustration"	"001"	"STU"	"3"	"15:00:00"	"17:45:00"	"MW"	"Carlisle Fine Arts Facility 123"	"Studio"	"Sarah Cecile Ellis"
"23006"	"Art"	"ART 341"	"Digital Literacy for Artists/Designers"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Patrice Nicole Anderson"
"23121"	"Art"	"ART 341"	"Digital Literacy for Artists/Designers"	"002"	"STU"	"3"	"12:00:00"	"14:45:00"	"TR"	"Hammond Hall 104A"	"Studio"	"Patrice Nicole Anderson"
"23122"	"Art"	"ART 341"	"Digital Literacy for Artists/Designers"	"003"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Patrice Nicole Anderson"
"22996"	"Art"	"ART 343"	"Graphic Design II"	"001"	"LEC"	"3"	"08:00:00"	"10:45:00"	"MW"	"Hammond Hall 104B"	"In-Person Instruction"	"William C. Anderson"
"23068"	"Art"	"ART 343"	"Graphic Design II"	"002"	"LEC"	"3"	"08:00:00"	"10:45:00"	"TR"	"Round House 102"	"In-Person Instruction"	"Jamie Runnells"
"23034"	"Art"	"ART 352"	"Type in Motion"	"001"	"LEC"	"3"	"15:00:00"	"17:45:00"	"MW"	"Hammond Hall 104A"	"In-Person Instruction"	"Alba Conejero I Gutierrez"
"22990"	"Art"	"ART 368"	"Introduction to Photography"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"TBA"
"22991"	"Art"	"ART 368"	"Introduction to Photography"	"002"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"TBA"
"23064"	"Art"	"ART 368"	"Introduction to Photography"	"003"	"BL1"	"3"	"12:00:00"	"14:45:00"	"T"	"Carlisle Fine Arts Facility 122"	"Hybrid (mostly on-campus)"	"Sarah Cusimano Miles"
"23158"	"Art"	"ART 369"	"Black & White Photography/grad"	"001"	"LEC"	"3"	"12:00:00"	"14:45:00"	"MW"	"TBA"	"In-Person Instruction"	"Sarah Cusimano Miles"
"23159"	"Art"	"ART 369"	"Black & White Photography/grad"	"002"	"LEC"	"3"	"12:00:00"	"14:45:00"	"MW"	"Carlisle Fine Arts Facility 122"	"In-Person Instruction"	"Sarah Cusimano Miles"
"22989"	"Art"	"ART 402"	"Graphic Design History (WI)"	"001"	"LEC"	"3"	"12:00:00"	"13:30:00"	"MW"	"Round House 101"	"In-Person Instruction"	"Christian Dunn"
"23057"	"Art"	"ART 403"	"Painting II"	"001"	"LEC"	"3"	"15:00:00"	"17:45:00"	"MW"	"Hammond Hall 106"	"In-Person Instruction"	"Allison McElroy"
"23058"	"Art"	"ART 405"	"Advanced Painting IV"	"001"	"LEC"	"3"	"15:00:00"	"17:45:00"	"MW"	"Hammond Hall 106"	"In-Person Instruction"	"Allison McElroy"
"23000"	"Art"	"ART 409"	"Ceramics II: Intro to Wheel Throwing"	"001"	"STU"	"3"	"12:00:00"	"14:45:00"	"MW"	"Carlisle Fine Arts Facility 103"	"Studio"	"John Oles"
"23001"	"Art"	"ART 410"	"Ceramics III"	"001"	"LEC"	"3"	"12:00:00"	"14:45:00"	"MW"	"Carlisle Fine Arts Facility 103"	"In-Person Instruction"	"John Oles"
"23002"	"Art"	"ART 413"	"Advanced Ceramics IV"	"001"	"LEC"	"3"	"12:00:00"	"14:45:00"	"MW"	"Carlisle Fine Arts Facility 103"	"In-Person Instruction"	"John Oles"
"22988"	"Art"	"ART 431"	"Advanced Graphic Design IV"	"001"	"LEC"	"3"	"08:00:00"	"10:45:00"	"MW"	"Hammond Hall 104A"	"In-Person Instruction"	"Christian Dunn"
"23116"	"Art"	"ART 434"	"Graphic Design Workshop"	"001"	"LEC"	"3"	"15:00:00"	"17:45:00"	"TR"	"Round House 102"	"In-Person Instruction"	"William C. Anderson"
"23065"	"Art"	"ART 435"	"Advanced Typography"	"001"	"LEC"	"3"	"08:00:00"	"10:45:00"	"TR"	"Hammond Hall 104A"	"In-Person Instruction"	"Christian Dunn"
"23061"	"Art"	"ART 445"	"Advanced Drawing and Illustration"	"001"	"STU"	"3"	"15:00:00"	"17:45:00"	"TR"	"Hammond Hall 112"	"Studio"	"Allison McElroy"
"23120"	"Art"	"ART 461"	"Artists' Books"	"001"	"STU"	"3"	"15:00:00"	"17:45:00"	"TR"	"Carlisle Fine Arts Facility 123"	"Studio"	"Sarah Cecile Ellis"
"23119"	"Art"	"ART 462"	"Printmaking: Relief"	"001"	"LEC"	"3"	"08:00:00"	"10:45:00"	"TR"	"Carlisle Fine Arts Facility 123"	"In-Person Instruction"	"Sarah Cecile Ellis"
"22987"	"Art"	"ART 473"	"Special Topics in Photography"	"001"	"LEC"	"3"	"15:00:00"	"17:45:00"	"MW"	"Carlisle Fine Arts Facility 122"	"In-Person Instruction"	"Sarah Cusimano Miles"
"23148"	"Art"	"ART 488"	"BFA Seminar"	"001"	"LEC"	"3"	"08:00:00"	"10:45:00"	"MW"	"Round House 102"	"In-Person Instruction"	"Bryce Lafferty"
"23003"	"Art"	"ART 490"	"Advanced Independent Study"	"001"	"IND"	"3"	"00:00:00"	"00:00:00"	""	"Carlisle Fine Arts Facility 103"	"Independent Study"	"John Oles"
"23149"	"Art"	"ART 499"	"BA Senior Seminar and Exhibit"	"001"	"LEC"	"3"	"08:00:00"	"10:45:00"	"MW"	"Round House 102"	"In-Person Instruction"	"Bryce Lafferty"
"23144"	"Art"	"ART 590"	"Independent Study"	"001"	"IND"	"3"	"00:00:00"	"00:00:00"	""	"Hammond Hall 104B"	"Independent Study"	"William C. Anderson"
"23009"	"Art"	"ART 638"	"Special Topics in Graphic Design"	"001"	"IND"	"3"	"00:00:00"	"00:00:00"	""	"Carlisle Fine Arts Facility 123"	"Independent Study"	"Sarah Cecile Ellis"
"23117"	"Art"	"ART 638"	"Special Topics in Graphic Design"	"002"	"IND"	"3"	"00:00:00"	"00:00:00"	""	"Round House 102"	"Independent Study"	"William C. Anderson"
"22532"	"Art"	"ART 643"	"Design Studio Exhibition Research"	"001"	"STU"	"3"	"00:00:00"	"00:00:00"	"TBA"	"TBA"	"Studio"	"Jamie Runnells"
"23067"	"Art"	"ART 644"	"Design Studio Exh Grad"	"001"	"LEC"	"3"	"00:00:00"	"00:00:00"	"TBA"	"TBA"	"In-Person Instruction"	"Christian Dunn"
"23072"	"Art"	"ART 644"	"Design Studio Exh Grad"	"002"	"LEC"	"3"	"00:00:00"	"00:00:00"	"TBA"	"TBA"	"In-Person Instruction"	"Jamie Runnells"
"23066"	"Art"	"ART 647"	"Typography Des Stu/Grad"	"001"	"STU"	"3"	"08:00:00"	"10:45:00"	"TR"	"Hammond Hall 104A"	"Studio"	"Christian Dunn"
"23071"	"Art"	"ART 648"	"Design Studio Grad"	"001"	"LEC"	"3"	"12:00:00"	"14:45:00"	"TR"	"Round House 102"	"In-Person Instruction"	"Jamie Runnells"
"23079"	"Art"	"ART 648"	"Design Studio Grad"	"002"	"LEC"	"3"	"12:00:00"	"14:45:00"	"TR"	"Hammond Hall 112"	"In-Person Instruction"	"William C. Anderson"
"23169"	"Asian Studies"	"ASN 301"	"Asia: Business, Energy, Technology, and Healthcare"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"TBA"
"21103"	"Athletic Training"	"AT 525"	"Therapeutic Interventions II"	"001"	"LEC"	"2"	"00:00:00"	"00:00:00"	"TBA"	"South Complex"	"In-Person Instruction"	"David J Kean, Christopher M Clark, Regina D Moses"
"21096"	"Athletic Training"	"AT 526"	"Clinical Education I"	"001"	"SB"	"2"	"00:00:00"	"00:00:00"	"TBA"	"South Complex"	"Site-Based"	"Jennifer Savage Burgett, Christopher M Clark, Regina D Moses"
"21097"	"Athletic Training"	"AT 527"	"Physical Exam II"	"001"	"LEC"	"3"	"00:00:00"	"00:00:00"	"TBA"	"South Complex"	"In-Person Instruction"	"Jennifer Savage Burgett, Christopher M Clark, Regina D Moses"
"21099"	"Athletic Training"	"AT 528"	"Physical Exam Lab II"	"001"	"LAB"	"1"	"00:00:00"	"00:00:00"	"TBA"	"South Complex"	"Lab"	"Jennifer Savage Burgett, Christopher M Clark, Regina D Moses"
"21110"	"Athletic Training"	"AT 550"	"Medical Conditions"	"001"	"BL1"	"3"	"00:00:00"	"00:00:00"	"TBA"	"South Complex"	"Hybrid (mostly on-campus)"	"David J Kean, Christopher M Clark, Regina D Moses"
"21104"	"Athletic Training"	"AT 553"	"Athletic Training Ethics and Administration"	"001"	"BL1"	"3"	"00:00:00"	"00:00:00"	"TBA"	"South Complex"	"Hybrid (mostly on-campus)"	"Christopher M Clark, Jennifer Savage Burgett, Regina D Moses"
"21101"	"Athletic Training"	"AT 556"	"Clinical Education IV"	"001"	"SB"	"2"	"00:00:00"	"00:00:00"	"TBA"	"South Complex"	"Site-Based"	"Jennifer Savage Burgett, Christopher M Clark, Regina D Moses"
"20640"	"Business Administration"	"BA 500"	"Statistics and Quantitative Methods"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Stephen Keith Lowe"
"22005"	"Business Administration"	"BA 501"	"Organizational Communication"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Michael S Walker"
"20642"	"Business Administration"	"BA 502"	"Contemporary Economic Fundamentals"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Michael Shawn Carter"
"22662"	"Business Administration"	"BA 505"	"Overview of the U.S. Healthcare System"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Taleah Hunt Collum"
"20644"	"Business Administration"	"BA 511"	"Concepts of Finance and Accounting"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"John Edward Sneed"
"22663"	"Business Administration"	"BA 520"	"Healthcare Analytics"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Falynn Cartmill Turley"
"21215"	"Business Administration"	"BA 530"	"Business Analytics"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Stephen Keith Lowe"
"22016"	"Business Administration"	"BA 550"	"Supply Chain Analytics"	"001"	"ONL"	"3"	"00:00:00"	"00:00:00"	""	"Online"	"Online (asynchronous)"	"Yajun Lu"
